date,close,volume,open,high,low,symbol
2020-08-27,526.27,9062912,537.775,541.0,521.2471,NFLX
2020-08-26,547.53,20373680,492.5,549.04,492.075,NFLX
2020-08-25,490.58,5727721,488.19,492.47,485.09,NFLX
2020-08-24,488.81,4762183,495.438,501.0,483.16,NFLX
2020-08-21,492.31,3921293,496.46,498.13,490.0,NFLX
2020-08-20,497.9,5132480,484.69,498.94,483.89,NFLX
2020-08-19,484.53,3156218,493.93,494.4985,483.5,NFLX
2020-08-18,491.87,3505518,484.35,495.3,482.8,NFLX
2021-08-17,3241.96,3387922,3277.5,3280.49,3225.68,AMZN
2021-08-16,3298.99,3328494,3283.0,3300.0,3211.13,AMZN
2021-08-13,3293.97,2056699,3305.67,3306.065,3283.0,AMZN
2021-08-12,3303.5,2323823,3290.0,3314.51,3269.67,AMZN
2021-08-11,3292.11,2947249,3331.447,3337.7,3277.79,AMZN
2021-08-10,3320.68,2412551,3345.01,3358.0,3315.0,AMZN
2021-08-09,3341.87,2148220,3343.61,3354.88,3328.52,AMZN
2021-08-06,3344.94,2637644,3375.0,3375.0,3329.0373,AMZN
2021-08-05,3375.99,2433503,3356.22,3389.0,3340.92,AMZN
2021-08-04,3354.72,2183945,3379.35,3388.88,3345.56,AMZN
2021-08-03,3366.24,4157343,3340.72,3391.0,3299.77,AMZN
2021-08-02,3331.48,3353915,3353.1,3358.92,3317.0,AMZN
2021-07-30,3327.59,9965593,3347.95,3368.14,3306.98,AMZN
2021-07-29,3599.92,5519952,3627.75,3637.95,3580.01,AMZN
2021-07-28,3630.32,2999378,3633.78,3658.4204,3601.0,AMZN
2021-07-27,3626.39,4131890,3698.5,3698.5,3586.15,AMZN
2021-07-26,3699.82,2900068,3673.17,3712.08,3647.25,AMZN
2021-07-23,3656.64,2436292,3640.0,3666.11,3622.04,AMZN
2021-07-22,3638.03,3265352,3587.23,3640.02,3582.27,AMZN
2021-07-21,3585.2,2318989,3576.375,3586.45,3543.6415,AMZN
2021-07-20,3573.19,3255680,3567.32,3592.0,3518.0,AMZN
2021-07-19,3549.59,3784595,3532.58,3550.21,3499.16,AMZN
2021-07-16,3573.63,4043706,3633.31,3646.0599,3570.455,AMZN
2021-07-15,3631.2,3185292,3694.2,3695.4,3620.92,AMZN
2021-07-14,3681.68,3296568,3708.85,3717.66,3660.8266,AMZN
2021-07-13,3677.36,3845917,3702.1,3773.0782,3671.32,AMZN
2021-07-12,3718.55,2571635,3744.0,3757.2899,3696.7929,AMZN
2021-07-09,3719.34,3748237,3722.52,3748.0,3693.3968,AMZN
2021-07-08,3731.41,5180623,3643.56,3759.9855,3621.12,AMZN
2021-07-07,3696.58,5328062,3717.377,3734.2,3678.91,AMZN
2021-07-06,3675.74,6744768,3530.11,3685.48,3529.0,AMZN
2021-07-02,3510.98,3176697,3451.64,3511.72,3436.92,AMZN
2021-07-01,3432.97,2037053,3434.61,3457.0,3409.4206,AMZN
2021-06-30,3440.16,2403992,3441.06,3471.6019,3435.0,AMZN
2021-06-29,3448.14,2098439,3438.82,3456.03,3423.03,AMZN
2021-06-28,3443.89,2242793,3416.0,3448.0,3413.5098,AMZN
2021-06-25,3401.46,3940997,3464.0,3464.82,3394.18,AMZN
2021-06-24,3449.08,3831999,3507.64,3524.8599,3430.85,AMZN
2021-06-23,3503.82,2813341,3505.0,3521.0,3483.2,AMZN
2021-06-22,3505.44,3345082,3458.06,3523.78,3456.09,AMZN
2021-06-21,3453.96,3277130,3476.42,3482.0,3434.0,AMZN
2021-06-18,3486.9,5247737,3479.99,3507.0,3473.71,AMZN
2021-06-17,3489.24,5136531,3403.18,3497.2,3401.0,AMZN
2021-06-16,3415.25,4202782,3392.0,3426.35,3360.53,AMZN
2021-06-15,3383.13,2426200,3384.0,3396.9866,3363.1101,AMZN
2021-06-14,3383.87,2569655,3346.83,3385.0,3335.5,AMZN
2021-06-11,3346.83,2817352,3349.65,3366.58,3333.45,AMZN
2021-06-10,3349.65,3476480,3282.01,3351.0,3281.15,AMZN
2021-06-09,3281.15,2455530,3272.87,3297.58,3270.7,AMZN
2021-06-08,3264.11,3416730,3222.61,3279.5321,3218.01,AMZN
2021-06-07,3198.01,2215756,3197.33,3208.0,3172.2,AMZN
2021-06-04,3206.22,2249749,3212.0,3221.0,3198.81,AMZN
2021-06-03,3187.01,2398293,3204.23,3214.435,3184.03,AMZN
2021-06-02,3233.99,2014524,3223.1,3235.0,3208.0,AMZN
2021-06-01,3218.65,2430045,3243.495,3250.98,3209.06,AMZN
2021-05-28,3223.07,2331509,3242.0,3247.99,3219.7,AMZN
2021-05-27,3230.11,2561157,3256.0,3260.355,3230.04,AMZN
2021-05-26,3265.16,2383986,3274.591,3295.73,3258.51,AMZN
2021-05-25,3259.05,3261109,3266.67,3279.82,3213.76,AMZN
2021-05-24,3244.99,2422813,3215.5,3257.95,3210.4993,AMZN
2021-05-21,3203.08,4104882,3250.0,3256.6946,3197.01,AMZN
2021-05-20,3247.68,2633192,3244.4042,3259.6799,3236.18,AMZN
2021-05-19,3231.8,2679708,3195.0,3234.75,3184.0,AMZN
2021-05-18,3232.28,2828391,3292.575,3312.0,3230.37,AMZN
2021-05-17,3270.39,3685599,3245.93,3292.75,3234.59,AMZN
2021-05-14,3222.9,3325022,3185.56,3228.86,3183.0,AMZN
2021-05-13,3161.47,3356877,3185.47,3203.84,3133.0,AMZN
2021-05-12,3151.94,4936410,3185.0,3207.94,3133.1,AMZN
2021-05-11,3223.91,4619781,3136.28,3238.0,3127.37,AMZN
2021-05-10,3190.49,5838603,3282.32,3283.0,3190.0,AMZN
2021-05-07,3291.61,4710276,3319.09,3330.89,3289.0704,AMZN
2021-05-06,3306.37,4447696,3270.0,3314.4,3247.2,AMZN
2021-05-05,3270.54,3711308,3338.855,3354.695,3264.36,AMZN
2021-05-04,3311.87,5439449,3356.19,3367.975,3272.13,AMZN
2021-05-03,3386.49,5875530,3484.73,3486.645,3372.7012,AMZN
2021-04-30,3467.42,7009346,3525.12,3554.0,3462.5,AMZN
2021-04-29,3471.31,7682381,3505.098,3514.445,3435.0,AMZN
2021-04-28,3458.5,4631884,3434.8,3489.88,3425.0,AMZN
2021-04-27,3417.43,3827140,3443.47,3460.0,3398.01,AMZN
2021-04-26,3409.0,4880708,3348.0,3428.45,3330.94,AMZN
2021-04-23,3340.88,3196652,3319.1,3375.0,3308.5,AMZN
2021-04-22,3309.04,2580590,3371.68,3372.87,3301.45,AMZN
2021-04-21,3362.02,2211166,3316.0,3362.86,3303.8061,AMZN
2021-04-20,3334.69,2623032,3373.6,3382.99,3316.0,AMZN
2021-04-19,3372.01,2725405,3390.33,3435.9333,3360.16,AMZN
2021-04-16,3399.44,3186049,3380.0,3406.8,3355.59,AMZN
2021-04-15,3379.09,3233580,3371.0,3396.9999,3352.0,AMZN
2021-04-14,3333.0,3145204,3404.04,3404.13,3326.0,AMZN
2021-04-13,3400.0,3315837,3400.845,3432.0,3395.63,AMZN
2021-04-12,3379.39,3281798,3355.21,3395.04,3351.15,AMZN
2021-04-09,3372.2,4341473,3304.7,3372.2,3288.9,AMZN
2021-04-08,3299.3,2812090,3310.9,3324.5,3292.0,AMZN
2021-04-07,3279.39,3346227,3233.8,3303.6125,3223.65,AMZN
2021-04-06,3223.82,2537809,3223.75,3247.31,3217.04,AMZN
2021-04-05,3226.73,3334882,3173.0,3235.955,3161.24,AMZN
2021-04-01,3161.0,2940318,3117.94,3162.44,3115.55,AMZN
2021-03-31,3094.08,3093896,3064.06,3119.33,3062.5,AMZN
2021-03-30,3055.29,2337603,3070.01,3073.0,3034.0,AMZN
2021-03-29,3075.73,2745968,3055.439,3091.25,3028.445,AMZN
2021-03-26,3052.03,3312924,3044.06,3056.66,2996.0,AMZN
2021-03-25,3046.26,3563469,3072.99,3109.78,3037.14,AMZN
2021-03-24,3087.07,2958981,3151.04,3160.31,3085.15,AMZN
2021-03-23,3137.5,3817263,3127.0,3182.0,3120.8501,AMZN
2021-03-22,3110.87,2902179,3067.85,3126.58,3060.05,AMZN
2021-03-19,3074.96,4625354,3029.23,3077.285,3016.63,AMZN
2021-03-18,3027.99,3657027,3101.0,3116.63,3025.0,AMZN
2021-03-17,3135.73,3118584,3073.22,3173.05,3070.22,AMZN
2021-03-16,3091.86,2538764,3104.97,3128.91,3075.8601,AMZN
2021-03-15,3081.68,2918592,3074.57,3082.24,3032.09,AMZN
2021-03-12,3089.49,2421888,3075.0,3098.98,3045.5,AMZN
2021-03-11,3113.59,2776391,3104.01,3131.7843,3082.93,AMZN
2021-03-10,3057.64,3012489,3098.45,3116.46,3030.05,AMZN
2021-03-09,3062.85,4030032,3017.99,3090.96,3005.1474,AMZN
2021-03-08,2951.95,4185008,3015.0,3064.59,2951.31,AMZN
2021-03-05,3000.46,5388551,3005.0,3009.0,2881.0001,AMZN
2021-03-04,2977.57,5481578,3012.0,3058.13,2945.43,AMZN
2021-03-03,3005.0,3988725,3081.18,3107.775,2995.0,AMZN
2021-03-02,3094.53,2595762,3143.47,3163.52,3087.1201,AMZN
2021-03-01,3146.14,2733963,3127.89,3149.56,3097.99,AMZN
2021-02-26,3092.93,4275930,3095.2,3122.44,3036.7,AMZN
2021-02-25,3057.16,4533801,3136.74,3178.26,3047.76,AMZN
